[2020-02-11T11:41:02.574+0000][gc,heap      ] GC(10) Old regions: 6->6
[2020-02-11T11:41:02.574+0000][gc,heap      ] GC(10) Humongous regions: 0->0
[2020-02-11T11:41:02.574+0000][gc,metaspace ] GC(10) Metaspace: 8263K->8263K(1056768K)
[2020-02-11T11:41:02.574+0000][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 69M->6M(512M) 1.850ms
[2020-02-11T11:41:02.574+0000][gc,cpu       ] GC(10) User=0.01s Sys=0.01s Real=0.00s
[2020-02-11T15:51:18.285+0000][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-11T15:51:18.285+0000][gc,task      ] GC(11) Using 10 workers of 10 for evacuation
[2020-02-11T15:51:18.287+0000][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[2020-02-11T15:51:18.287+0000][gc,phases    ] GC(11)   Evacuate Collection Set: 0.9ms
[2020-02-11T15:51:18.287+0000][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.5ms
[2020-02-11T15:51:18.287+0000][gc,phases    ] GC(11)   Other: 0.3ms
[2020-02-11T15:51:18.287+0000][gc,heap      ] GC(11) Eden regions: 74->0(86)
[2020-02-11T15:51:18.287+0000][gc,heap      ] GC(11) Survivor regions: 1->1(10)
[2020-02-11T15:51:18.287+0000][gc,heap      ] GC(11) Old regions: 6->6
[2020-02-11T15:51:18.287+0000][gc,heap      ] GC(11) Humongous regions: 0->0
[2020-02-11T15:51:18.287+0000][gc,metaspace ] GC(11) Metaspace: 8263K->8263K(1056768K)
[2020-02-11T15:51:18.287+0000][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 80M->6M(512M) 1.920ms
[2020-02-11T15:51:18.287+0000][gc,cpu       ] GC(11) User=0.01s Sys=0.01s Real=0.00s
[2020-02-11T20:42:58.386+0000][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2020-02-11T20:42:58.387+0000][gc,task      ] GC(12) Using 10 workers of 10 for evacuation
